,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other,week,date
20181231,0.2,-0.11,1.06,0.52,0.7,0.77,1.15,1.6,0.4,1.01,1,31/12/2018
20190102,-0.28,-0.58,0.32,2.17,0.15,1.16,0.78,-0.98,-1.46,0.47,1,31/12/2018
20190103,-0.74,-2.81,-2.68,-1.22,-4.35,-0.2,-1.65,-2.13,0.05,-2.21,1,31/12/2018
20190104,2.61,4.33,3.74,3.69,4.45,2.51,2.95,3.46,1.72,3.47,1,31/12/2018
20190107,-0.21,2.82,0.61,1.31,0.94,0.77,2.19,1.17,-0.4,0.7,2,7/1/2019
20190108,1.26,1.55,1.24,0.67,1.17,1.27,1.08,0.96,1.47,0.64,2,7/1/2019
20190109,-0.8,1.45,0.36,1.63,1,-0.61,0.27,0.3,-0.49,0.68,2,7/1/2019
20190110,0.46,0.63,1.03,0.33,0.46,0.25,-0.1,0.26,1.27,0.34,2,7/1/2019
20190111,0.42,1.42,0.01,-0.8,-0.24,0.54,-0.14,0.06,-0.47,0.23,2,7/1/2019
20190114,-0.23,-0.21,-0.44,-0.19,-0.84,-0.46,-0.83,-1.42,-1.83,0.12,3,14/1/2019
20190115,0.88,0.5,-0.06,0.29,1.74,-0.07,1.16,1.88,1.25,0.79,3,14/1/2019
20190116,-0.55,-0.36,0.12,-0.11,-0.02,-0.51,0.08,-0.45,0.41,1.46,3,14/1/2019
20190117,0.91,1.13,1.5,0.96,0.82,0.02,0.51,1.21,0.62,0.58,3,14/1/2019
20190118,1.63,-0.87,1.69,1.66,1.5,0.65,1.15,0.89,0.34,1.48,3,14/1/2019
20190122,-1.03,-1.7,-1.99,-2.43,-1.89,-1.3,-1.69,-0.98,-0.14,-1.23,4,21/1/2019
20190123,0.53,-1.74,0.4,-0.99,0.34,1.36,0.41,-0.31,0.75,-0.05,4,21/1/2019
20190124,-1.35,1.49,0.44,0.59,0.79,-0.53,0.08,-0.76,0.92,0.32,4,21/1/2019
20190125,0.38,1.77,1.22,1.19,1.54,-0.09,0.66,0.15,-1.09,1.03,4,21/1/2019
20190128,0.41,-0.78,-0.6,-1.09,-1.24,-0.75,-0.68,-1.51,-0.45,-0.39,5,28/1/2019
20190129,0.27,0.63,1.03,0.24,-0.96,-0.43,-0.92,0.69,0.48,-0.14,5,28/1/2019
20190130,0.97,1.26,1.43,1.51,2.79,-0.87,1.55,1.37,0.72,1.01,5,28/1/2019
20190131,1.58,0.36,0.11,0.65,1.08,2.7,1.17,1.51,1.71,0.2,5,28/1/2019
20190201,-0.15,0.1,0.17,1.83,0.26,0.13,-2.06,0.5,-0.18,0.6,5,28/1/2019
20190204,0.45,0.44,0.84,0.23,1.63,-0.44,0.84,-0.23,0.23,0.59,6,4/2/2019
20190205,0.1,0.97,0.75,-0.03,0.92,0.12,0.77,0.02,0.1,0.1,6,4/2/2019
20190206,-0.13,-0.04,0.11,-0.83,-0.17,-0.33,-0.51,0.08,-0.42,-0.16,6,4/2/2019
20190207,-0.05,-2.28,-1.05,-2.26,-1.41,0.01,-0.42,-1.31,1.02,-0.73,6,4/2/2019
20190208,0.79,-0.28,0.18,-0.45,0.64,0.33,-0.78,0.62,0.52,-0.43,6,4/2/2019
20190211,0.23,0.59,0.4,0.49,-0.02,-0.61,0.29,0.06,0,0.28,7,11/2/2019
20190212,1.03,1.54,1.73,1.32,1.48,0.56,1.68,1.16,0.31,1.45,7,11/2/2019
20190213,0.02,0.07,0.36,1.35,0.06,0.04,0.58,0.18,-0.04,0.39,7,11/2/2019
20190214,-1.7,-0.21,-0.54,0.45,0.2,0.13,-0.18,0.21,-0.13,-0.56,7,11/2/2019
20190215,0.76,0.84,1.42,1.73,0.65,1.92,0.75,1.42,0.51,1.51,7,11/2/2019
20190219,-0.09,0.7,0.21,0.12,0.1,0.28,0.64,-0.4,0.79,0.3,8,18/2/2019
20190220,0.56,0.71,0.83,0.56,-0.02,0.48,-0.63,0.02,0.28,0.43,8,18/2/2019
20190221,0.42,-1.23,-0.41,-1.58,-0.24,0.42,-0.38,-0.79,0.61,-0.43,8,18/2/2019
