yyyymm,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other,Mkt - Rf,Rf
1/1/2002,1.92,2.9,1.65,-2.85,-0.54,-7.22,2.58,-2.36,-4.03,-1.59,-1.44,0.14
2/1/2002,4.36,3.11,4.3,5.45,-13.11,-2.39,-0.12,-0.49,-0.38,-0.16,-2.29,0.13
3/1/2002,3.74,6.9,4.96,7.63,6.42,0.33,2.12,0.46,9.98,5.31,4.24,0.13
4/1/2002,2.66,1.75,-1.47,-4.6,-11.71,-12.7,-1.68,-7.57,0.1,-2.99,-5.2,0.15
5/1/2002,1.44,-0.2,-0.31,-0.76,-3.77,2.98,-1.5,-2.23,-5.99,-0.6,-1.38,0.14
6/1/2002,-5.79,-8.11,-3.1,-0.04,-12.16,-14.39,-5.11,-9.6,-5.28,-4.91,-7.21,0.13
7/1/2002,-6.72,-12.3,-8.42,-11.79,-9.62,-11.69,-11.44,-2.55,-12,-6.46,-8.18,0.15
8/1/2002,2.49,0.4,-1.3,0.58,-0.89,0.34,1.89,0.65,3.42,0.91,0.5,0.14
9/1/2002,-7.68,-11.09,-8.26,-8.15,-16.68,-9.32,-9.43,-5.86,-10.8,-10.74,-10.35,0.14
10/1/2002,5.22,-3.27,3.81,3.2,19.29,21.34,5.68,5.69,-0.63,6.41,7.84,0.14
11/1/2002,-1.27,12.09,6.11,3.06,16.1,11.83,1.94,3.71,1.57,4.5,5.96,0.12
12/1/2002,0,-7.31,-3.75,0.84,-12.94,-9.07,-6.93,-4.05,3.85,-4.99,-5.76,0.11
1/1/2003,-4.78,-3.27,-4.03,-2.5,-1.5,-3.48,-4.74,-0.59,-3.24,-2.25,-2.57,0.1
2/1/2003,-3.11,-5.07,-2.26,1.91,1.3,-6.44,-1.2,-1.94,-3.94,-2.54,-1.88,0.09
3/1/2003,-2.67,-2.77,1.4,1.51,-0.96,-0.57,4.63,3.79,4.3,0.91,1.09,0.1
4/1/2003,4.7,15.2,6.36,-0.46,9.25,11.17,8.96,4.32,7.28,11.66,8.22,0.1
5/1/2003,9.22,2.84,4.61,8.61,9.7,6.22,3.42,3.9,10.1,5.23,6.05,0.09
6/1/2003,1.57,2.68,0.51,-0.98,0.26,1.96,3.43,4.12,0.73,0.88,1.42,0.1
7/1/2003,-2.33,6.54,4.95,-2.57,5.67,-1.63,3.32,0.6,-5.19,3.6,2.35,0.07
8/1/2003,0.66,7.81,4.11,6.13,6.06,1.36,6.76,-2.54,1.92,0.53,2.34,0.07
9/1/2003,1.11,-4.14,-3.69,-2.15,-0.91,-5.66,-4.53,0.24,3.87,0.34,-1.24,0.08
10/1/2003,5.59,7.04,8.88,1.64,8.25,6.69,9.03,0.73,1.55,6.47,6.08,0.07
11/1/2003,3.78,3.1,2.09,0.63,1.87,-0.6,0.57,1.63,0.95,1.01,1.35,0.07
12/1/2003,3.31,12.34,6.72,13.56,2.16,7.35,-2.13,5.69,5.81,4.36,4.29,0.08
1/1/2004,0.13,-1.22,-0.64,0.24,4.47,1.43,0.45,3.04,1.91,2.75,2.15,0.07
2/1/2004,4.28,-0.12,2,4.53,-2.93,-0.77,6.08,0.91,2.09,1.98,1.4,0.06
3/1/2004,-0.3,-1.19,-0.26,-0.02,-2.5,-2.41,0.3,-3.9,1.18,-0.61,-1.32,0.09
4/1/2004,1.51,2.36,-0.16,2.62,-4.88,-0.49,-2.68,3.58,-3.52,-3.87,-1.83,0.08
5/1/2004,-2.19,-1.63,1.62,0.63,4.8,-2.89,0.27,-0.38,1.25,1.94,1.17,0.06
6/1/2004,1.87,5.04,5.35,5.37,2.67,0.6,0.07,-0.38,2.03,1.44,1.86,0.08
7/1/2004,-5.83,-4.64,-4.07,3.35,-8.5,-1.33,-3.98,-5.87,1.05,-2.41,-4.06,0.1
8/1/2004,0.82,-2.22,1.35,-1.34,-4.54,1.3,-1.15,1.67,3.67,1.95,0.08,0.11
9/1/2004,-1.76,2.3,1.91,8.77,3.43,1.34,2.58,-1.42,1.38,1.25,1.6,0.11
10/1/2004,2.86,-3,-1.38,0.63,5.15,3.35,3.08,-2.4,4.25,1.19,1.43,0.11
11/1/2004,4.52,7.28,7.16,6.52,5.75,3.53,3.61,0.66,4.89,4.92,4.54,0.15
12/1/2004,4.8,4.87,2.56,-2.27,3.1,4.28,3.43,5.66,2.48,4.42,3.43,0.16
1/1/2005,-0.08,-7.02,-1.74,2.98,-6.33,-4.17,-1.08,-4.05,1.78,-2.45,-2.76,0.16
2/1/2005,0.61,-0.24,4.06,19.36,0.05,-0.29,0.86,2.48,2.35,0.2,1.89,0.16
